neg,neu,pos,compound,eid,pii
0.019,0.921,0.06,0.9996,2-s2.0-85033578138,S0047248417303032
0.03,0.903,0.067,0.9985,2-s2.0-84867465463,S0047248412001431
0.013,0.935,0.053,0.9919,2-s2.0-0022476682,S0047248486800641
0.031,0.87,0.099,0.9999,2-s2.0-84884587594,S0047248413001863
0.03,0.845,0.125,0.9999,2-s2.0-33750031284,S0047248406001187
0.02,0.925,0.055,0.9996,2-s2.0-15444371411,S0047248405000023
0.05,0.882,0.068,0.9733,2-s2.0-0017398269,S0047248477800547
0.048,0.856,0.096,0.9996,2-s2.0-0000736988,S0047248481800164
0.025,0.88,0.094,1.0,2-s2.0-85043587730,S0047248417302336
0.023,0.912,0.066,0.9998,2-s2.0-84863533710,S0047248412000735
0.019,0.912,0.069,0.9998,2-s2.0-21244459915,S0047248405000473
0.023,0.915,0.062,0.9999,2-s2.0-85048712442,S0047248417305109
0.034,0.859,0.107,0.9997,2-s2.0-0016358435,47248474900086
0.03,0.9,0.069,0.9993,2-s2.0-0037225364,S0047248402001951
0.021,0.872,0.107,1.0,2-s2.0-56349146110,S0047248408001917
0.043,0.899,0.058,0.9985,2-s2.0-79958010184,S0047248411000595
0.077,0.824,0.099,0.9901,2-s2.0-0018874929,47248480900354
0.01,0.95,0.04,0.9952,2-s2.0-0031147898,S0047248496901116
0.067,0.824,0.109,0.9982,2-s2.0-0018968306,004724848090024X
0.028,0.912,0.061,0.9995,2-s2.0-68049101198,S004724840900061X
0.038,0.871,0.091,0.9982,2-s2.0-0020441882,S0047248482800079
0.005,0.935,0.06,0.9983,2-s2.0-33846938815,S004724840600220X
0.043,0.883,0.074,0.9858,2-s2.0-0015880188,47248473900808
0.058,0.888,0.054,0.7402,2-s2.0-58149409239,S0047248481800723
0.026,0.884,0.09,0.9994,2-s2.0-68049101190,S0047248409000840
0.0,0.91,0.09,0.9799,2-s2.0-0028591680,S0047248484710566
0.026,0.921,0.052,0.9995,2-s2.0-38249034873,47248487900236
0.038,0.897,0.064,0.9992,2-s2.0-51349161572,S0047248408001346
0.0,0.941,0.059,0.9771,2-s2.0-0028830397,S0047248485710172
0.038,0.901,0.06,0.9992,2-s2.0-84947755102,S0047248415002390
0.024,0.902,0.073,0.9999,2-s2.0-85104955681,S0047248421000361
0.028,0.899,0.073,0.9995,2-s2.0-0043001899,47248488900498
0.056,0.875,0.069,0.7894,2-s2.0-0016714245,47248475900056
0.031,0.897,0.072,0.9998,2-s2.0-33746237785,S0047248406000352
0.014,0.921,0.065,0.9998,2-s2.0-85063549524,S0047248418303464
0.093,0.845,0.062,-0.9997,2-s2.0-85087025171,S004724842030097X
0.013,0.938,0.049,0.9998,2-s2.0-77953541128,S0047248410000400
0.019,0.929,0.052,0.9999,2-s2.0-85099666393,S0047248420301998
0.034,0.928,0.038,-0.9531,2-s2.0-0001221167,S004724848280095X
0.047,0.829,0.124,0.9999,2-s2.0-77958155830,S0047248410001211
0.018,0.919,0.062,0.9998,2-s2.0-70450237044,S0047248409001705
0.018,0.862,0.121,1.0,2-s2.0-34548539777,S004724840700108X
0.035,0.855,0.11,0.9999,2-s2.0-84920590033,S0047248414001055
0.02,0.92,0.06,0.9999,2-s2.0-84957652358,S0047248415002778
0.022,0.909,0.069,0.9998,2-s2.0-84865862004,S0047248412001364
0.075,0.811,0.114,0.9944,2-s2.0-84923352329,S0047248414002383
